"cod6","ano","agente","casos","populacao","fonte_populacao","populacao_unica","incid_100k","incid_100k_pop2024","incid_eb_100k","incid_pad_100k"
"330120",2023,"vsr",0,17457,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",17740,0,0,2.60068865507978,0
"330120",2024,"vsr",1,17740,"Estimativa da população residente, 1º de julho de 2024",17740,5.6369785794814,5.6369785794814,9.75701714902425,6.05865330740862
"330120",2025,"vsr",9,17741,"Estimativa da população residente, 1º de julho de 2025",17740,50.7299475790542,50.7328072153326,38.5384282478207,51.1101988634094
"330130",2022,"influenza",4,46110,"Censo 2022, população residente (data de referência 01/08/2022)",48563,8.67490782910432,8.23672343141898,7.12107857938274,9.75558026247267
"330130",2023,"influenza",0,47280,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",48563,0,0,1.66300454788257,0
"330130",2024,"influenza",10,48563,"Estimativa da população residente, 1º de julho de 2024",48563,20.5918085785475,20.5918085785475,16.5597312845938,20.220378126617
"330130",2025,"influenza",7,48636,"Estimativa da população residente, 1º de julho de 2025",48563,14.3926309729419,14.4142660049832,14.6798102755246,14.5239120365942
"330130",2022,"sarscov2",49,46110,"Censo 2022, população residente (data de referência 01/08/2022)",48563,106.267620906528,100.899862034883,106.124917746493,117.702249877772
"330130",2023,"sarscov2",3,47280,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",48563,6.34517766497462,6.17754257356424,8.20836164433192,6.40052386485216
"330130",2024,"sarscov2",4,48563,"Estimativa da população residente, 1º de julho de 2024",48563,8.23672343141898,8.23672343141898,9.3968367992551,10.016574255217
"330130",2025,"sarscov2",5,48636,"Estimativa da população residente, 1º de julho de 2025",48563,10.2804506949585,10.2959042892737,8.25454599162382,10.9849977265276
"330130",2022,"vsr",1,46110,"Censo 2022, população residente (data de referência 01/08/2022)",48563,2.16872695727608,2.05918085785475,4.11420722686699,1.8227981153671
"330130",2023,"vsr",1,47280,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",48563,2.11505922165821,2.05918085785475,2.95856754477759,1.7776908015985
